root	gloss_head	gloss_zipf	suggested_tier	inv_tier	prod	gloss
kavaleri	cavalry	3.8	3	extended	2	cavalry
konfront	confront	3.8	3	extended	2	to confront
rajdistar	cavalry	3.8	3	extended	2	cavalry
bulten	bulletin	3.79	3	extended	2	bulletin, newsletter
probabl	probable	3.79	3	extended	2	probable
subjekt	subjective	3.79	3	extended	2	subjective
subjektiv	subjective	3.79	3	core	3	subjective
vetlud	gamble	3.79	3	extended	2	to gamble
aborigen	aboriginal	3.78	3	extended	2	aboriginal
alergi	allergic	3.78	3	core	3	allergic
ekologi	ecological	3.78	3	core	3	ecological
imun	exempt	3.78	3	core	3	exempt, immune
ponard	stab	3.78	3	extended	2	to stab
vegetar	vegetarian	3.78	3	core	4	vegetarian
greg	herd	3.77	3	extended	2	herd
seminari	seminar	3.77	3	extended	2	seminar
silik	flint	3.77	3	extended	2	flint, gravel
teologi	theological	3.77	3	extended	2	theological
cedr	cedar	3.76	3	extended	2	cedar, of a cedar
